Epoch,TotalEnvInteracts, AverageEvalReward,     StdEvalReward,     MinEvalReward,     MaxEvalReward,EvalEpLen,             LossPi,            LossQ1,            LossQ2,           Entropy,         AlphaCoeff,              Time
    1,             5000,342.01817098004966, 12.34658896380291, 329.5820315359716, 368.6625431768067,     64.7, -72.67436981201172,  8.76006031036377,   8.4418363571167,20.515670776367188,0.20000001788139343,0.8307672103246053
    2,            10000,   475.95002266615,31.947763072839933, 414.7929542089102, 521.5269610534551,     95.9,  -167.117431640625, 18.38322639465332,18.090524673461914,19.256223678588867,0.20000001788139343,1.5735872427622477
    3,            15000,406.61996981673184,57.026172176914116, 332.2785206666494,495.20462290293284,     78.9, -210.9545440673828,30.921499252319336,30.420324325561523, 18.33219337463379,0.20000001788139343, 2.316889421145121
    4,            20000, 543.2685947580488,148.45250343388696, 347.3472794100783, 772.6603064758333,    113.4,-222.00210571289062, 45.32727813720703,  44.8555908203125,17.456966400146484,0.20000001788139343, 3.065971302986145
    5,            25000, 374.4939900677507,23.038516923945167,348.81533030505204, 432.2097215947131,     69.5, -216.3571319580078, 50.54177474975586,50.533416748046875,16.757341384887695,0.20000001788139343, 3.806636587778727
    6,            30000,355.40222772665464, 47.84749664379814, 301.8483610022086,419.43591263851675,     68.8,    -211.2783203125,  47.7845573425293,  47.7844352722168, 16.68207550048828,0.20000001788139343,  4.55548270146052
    7,            35000,420.18789985638006,101.35711256396492,219.82989503604466, 561.4770349986934,     81.1,-207.16004943847656, 47.75393295288086,47.063533782958984,16.856365203857422,0.20000001788139343, 5.301868732770284
    8,            40000, 394.9211563396828,27.718426260275518,344.48553055609085,440.88299845377907,     73.1,-204.33172607421875,44.659698486328125,43.842166900634766,17.241214752197266,0.20000001788139343, 6.032113869984944
    9,            45000,460.66601569952945,57.358574188298526,404.50729576319554, 610.4111098984856,     90.3,-203.80215454101562, 43.20221710205078,42.005794525146484,17.460674285888672,0.20000001788139343,   6.7851398229599
   10,            50000, 594.4218911681172, 136.2156482261053, 420.7783746386174, 913.3877140584581,    110.5,-204.21624755859375, 43.06285095214844,42.032169342041016,17.529306411743164,0.20000001788139343,7.5352496147155765
   11,            55000, 629.7587038397485, 95.98245746370038, 497.4411901891476, 796.1093094316682,    122.5,-207.12403869628906, 44.75547790527344, 42.88215637207031, 17.59250259399414,0.20000001788139343,  8.29560542901357
   12,            60000, 520.4808844496206,118.46535564563816,386.54715443861767, 762.7056391579606,    100.2,-209.46180725097656,  46.5090446472168, 44.78340530395508, 17.60487937927246,0.20000001788139343, 9.054653120040893
   13,            65000, 392.3419192567069,25.653838295319044,  351.811948121595, 425.8478174054385,     73.4,-211.84825134277344, 46.02039337158203,44.188961029052734,17.678571701049805,0.20000001788139343, 9.795534094174704
