,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,681.14,262.34,65.61,889.01,838.6,1.38
1,2,10000,529.35,232.31,89.25,780.64,917.2,2.66
2,3,15000,381.07,262.97,63.53,802.38,593.5,3.93
3,4,20000,295.85,266.51,17.49,739.47,475.0,5.18
4,5,25000,390.55,278.29,24.9,856.16,590.5,6.47
5,6,30000,464.76,259.99,77.16,909.87,752.6,7.76
6,7,35000,505.75,348.1,49.41,1003.17,599.8,9.04
7,8,40000,750.46,240.01,334.1,1118.38,786.3,10.32
8,9,45000,657.72,383.94,104.9,1260.67,668.8,11.6
9,10,50000,724.68,302.28,125.6,1186.58,828.1,12.91
10,11,55000,726.26,112.71,546.32,919.54,1000.0,14.23
11,12,60000,854.88,337.87,237.04,1446.89,812.2,15.54
12,13,65000,564.12,354.46,27.71,1075.68,535.1,16.81
13,14,70000,757.71,454.2,66.46,1324.72,718.4,18.09
14,15,75000,776.08,455.18,38.62,1551.47,554.3,19.38
15,16,80000,775.91,322.43,171.09,1121.71,703.0,20.66
16,17,85000,907.82,403.6,204.35,1474.87,833.9,21.97
17,18,90000,1141.98,447.91,231.37,1816.51,863.3,23.28
18,19,95000,1068.49,510.75,102.0,1711.17,775.2,24.59
19,20,100000,761.45,426.13,67.16,1285.95,536.4,25.85
20,21,105000,1071.53,506.96,41.44,1843.72,754.1,27.13
21,22,110000,1067.83,540.46,53.05,1712.26,802.8,28.43
22,23,115000,1288.74,732.48,108.51,2093.93,755.8,29.72
23,24,120000,1360.21,756.2,235.57,2390.12,745.2,31.02
24,25,125000,1397.4,238.27,1105.47,1737.35,1000.0,32.34
25,26,130000,956.09,569.95,80.23,1869.48,657.8,33.62
26,27,135000,1868.2,561.18,974.87,2510.4,1000.0,34.95
27,28,140000,1247.99,533.32,509.25,2681.67,666.5,36.23
28,29,145000,1871.07,514.14,1125.87,2460.59,919.2,37.54
29,30,150000,959.46,608.69,72.46,1984.74,598.0,38.81
30,31,155000,1767.0,655.34,956.76,2636.85,1000.0,40.11
31,32,160000,1726.34,989.74,191.02,2914.45,714.6,41.4
32,33,165000,2084.7,806.52,1133.42,3269.84,872.9,42.71
33,34,170000,1764.46,1158.2,274.86,3651.88,535.2,43.97
34,35,175000,2460.58,766.36,424.13,3014.49,914.8,45.28
35,36,180000,2804.89,488.36,1451.9,3138.56,1000.0,46.6
36,37,185000,2016.66,1283.82,132.48,4044.78,638.1,47.87
37,38,190000,2254.27,1654.65,62.59,4037.57,665.4,49.16
38,39,195000,2951.71,1169.08,222.67,4150.63,781.3,50.45
39,40,200000,3302.52,1147.4,649.85,4070.61,917.1,51.76
40,41,205000,2562.76,1611.81,109.13,4339.64,607.3,53.05
41,42,210000,3185.23,88.75,3093.24,3393.83,1000.0,54.37
42,43,215000,2423.53,1223.23,414.06,4366.37,609.3,55.65
43,44,220000,3462.81,867.44,1196.78,4122.43,946.7,56.97
44,45,225000,3872.88,688.04,1886.21,4362.36,1000.0,58.3
45,46,230000,2654.73,1415.1,500.9,4427.34,693.8,59.58
46,47,235000,3549.14,1264.3,1019.89,4423.43,889.1,60.87
47,48,240000,4229.91,329.59,3393.61,4482.11,987.2,62.19
48,49,245000,2672.78,1673.84,34.62,4400.92,728.9,63.49
49,50,250000,3850.38,1162.87,1000.36,4661.22,912.9,64.8
50,51,255000,4120.95,111.33,3922.7,4336.44,1000.0,66.11
51,52,260000,3341.24,1768.78,258.64,4722.03,811.0,67.41
52,53,265000,3540.86,1488.66,717.15,5011.13,728.6,68.7
53,54,270000,4430.9,127.97,4277.1,4662.69,1000.0,70.03
54,55,275000,4365.2,158.7,4012.94,4629.6,1000.0,71.36
55,56,280000,3179.06,1887.02,77.82,4901.74,665.1,72.64
56,57,285000,3345.89,1495.46,943.05,4877.56,761.2,73.93
57,58,290000,4179.27,1274.27,736.18,5052.85,1000.0,75.25
58,59,295000,5014.26,301.06,4225.35,5348.37,986.6,76.58
59,60,300000,4052.89,697.97,2767.62,4849.42,856.7,77.89
60,61,305000,4763.11,765.32,2502.1,5251.72,947.5,79.2
61,62,310000,3149.96,1656.2,124.04,5011.96,731.5,80.5
62,63,315000,4285.98,1439.04,1302.65,5215.03,859.9,81.81
63,64,320000,4900.21,763.04,2643.02,5289.35,951.2,83.12
64,65,325000,4838.36,148.14,4456.77,4979.74,1000.0,84.45
65,66,330000,4997.91,246.96,4522.74,5496.25,988.3,85.77
66,67,335000,5048.1,247.82,4364.93,5343.26,981.2,87.09
67,68,340000,5110.31,126.37,4932.23,5367.91,999.1,88.43
68,69,345000,5255.62,103.73,5118.81,5437.29,1000.0,89.76
69,70,350000,5273.65,112.37,5131.36,5513.98,1000.0,91.09
70,71,355000,3178.96,2068.08,62.11,5360.05,633.5,92.36
71,72,360000,5201.99,101.39,5013.63,5375.49,1000.0,93.67
72,73,365000,4983.73,926.72,2432.14,5587.0,927.6,94.97
73,74,370000,4875.89,1575.05,160.1,5536.42,904.4,96.29
74,75,375000,4680.13,1523.22,695.29,5555.79,871.1,97.6
75,76,380000,5268.35,94.37,5102.55,5448.01,1000.0,98.93
76,77,385000,5414.26,132.69,5197.83,5647.9,1000.0,100.24
77,78,390000,4898.61,1471.98,673.06,5720.37,913.7,101.56
78,79,395000,4970.53,1588.73,255.32,5700.8,895.0,102.86
79,80,400000,5369.41,92.3,5211.46,5564.58,1000.0,104.19
80,81,405000,5175.36,1224.01,1517.43,5778.26,1000.0,105.51
81,82,410000,5611.14,211.58,5256.25,5950.36,1000.0,106.84
82,83,415000,5330.58,733.76,3140.18,5700.09,959.5,108.16
83,84,420000,5436.55,177.19,5010.11,5666.59,1000.0,109.47
84,85,425000,5215.53,894.04,2695.74,5767.88,987.5,110.8
85,86,430000,5510.12,124.75,5294.3,5667.11,994.4,112.11
86,87,435000,5192.52,1042.4,2082.7,5742.09,1000.0,113.42
87,88,440000,4974.6,1160.99,2155.69,5851.89,950.8,114.72
88,89,445000,4942.07,1180.71,2183.7,5849.81,876.8,116.03
89,90,450000,4928.06,1455.39,2021.27,5877.88,936.2,117.34
90,91,455000,5672.71,105.35,5504.09,5827.39,1000.0,118.66
91,92,460000,5326.62,679.08,3299.54,5681.25,1000.0,119.97
92,93,465000,5530.69,445.66,4218.19,5821.52,974.4,121.29
93,94,470000,5620.51,128.72,5382.96,5849.62,1000.0,122.62
94,95,475000,5679.74,86.38,5516.05,5802.0,1000.0,123.95
95,96,480000,4843.52,1728.89,239.99,5818.73,859.9,125.26
96,97,485000,5705.63,128.12,5436.47,5905.93,1000.0,126.58
97,98,490000,5229.47,1556.26,565.21,5864.25,912.0,127.88
98,99,495000,5482.24,515.56,3989.8,5921.24,1000.0,129.21
99,100,500000,4844.48,1184.56,2383.91,5696.21,895.2,130.52
100,101,505000,5741.17,182.15,5424.39,5997.16,1000.0,131.86
101,102,510000,5453.28,807.2,3046.92,5910.74,953.9,133.18
102,103,515000,5444.31,680.58,3444.92,5864.22,1000.0,134.5
103,104,520000,3644.97,2039.02,301.94,5707.98,662.2,135.77
104,105,525000,5795.93,95.3,5634.36,5978.67,1000.0,137.09
105,106,530000,5484.48,796.95,3112.38,5919.53,1000.0,138.41
106,107,535000,5053.79,1518.06,531.76,5767.68,910.3,139.71
107,108,540000,5759.72,121.82,5571.09,5943.83,1000.0,141.02
108,109,545000,4896.26,1711.6,1281.36,5885.56,855.7,142.32
109,110,550000,4718.79,1752.56,238.09,5808.82,827.6,143.62
110,111,555000,5768.08,139.09,5477.31,5949.26,1000.0,144.94
111,112,560000,4378.85,2206.31,117.48,6012.1,748.7,146.23
112,113,565000,5262.13,1563.3,578.08,5918.97,912.4,147.54
113,114,570000,5173.49,1545.08,546.49,5837.59,911.4,148.86
114,115,575000,5291.27,1530.38,712.3,5950.8,914.7,150.16
115,116,580000,5799.9,109.67,5550.09,5955.69,1000.0,151.47
116,117,585000,5234.35,1657.45,267.62,5892.71,906.6,152.79
117,118,590000,5053.7,1142.22,1992.89,5764.97,932.8,154.11
118,119,595000,4444.13,1170.29,3457.72,5470.86,786.9,155.41
119,120,600000,4670.89,796.72,3920.38,5031.12,414.9,156.66
120,121,605000,5028.13,284.87,4644.13,5203.49,705.9,157.95
121,122,610000,4713.79,379.28,4397.13,5309.69,902.8,159.26
122,123,615000,5242.12,338.12,4902.85,5322.95,1000.0,160.57
123,124,620000,5290.15,372.73,5105.06,5471.05,1000.0,161.9
124,125,625000,5254.61,101.61,5110.93,5411.57,1000.0,163.22
125,126,630000,5555.34,112.44,5400.17,5771.13,1000.0,164.55
126,127,635000,5198.82,905.33,2502.43,5777.24,945.9,165.87
127,128,640000,5135.22,1301.48,1560.35,5795.45,1000.0,167.19
128,129,645000,5176.6,1725.12,4.22,5839.91,901.5,168.47
129,130,650000,5173.23,1710.33,62.87,5940.61,898.8,169.77
130,131,655000,5839.43,118.11,5631.38,6012.74,1000.0,171.1
131,132,660000,5785.03,157.14,5440.28,6023.21,1000.0,172.41
132,133,665000,5144.18,1152.23,2675.24,5935.79,901.8,173.72
133,134,670000,4622.5,1837.24,632.48,5961.46,805.6,175.02
134,135,675000,5858.59,152.41,5656.83,6184.19,1000.0,176.35
135,136,680000,5765.45,260.38,5060.25,5986.86,1000.0,177.66
136,137,685000,5428.83,973.25,3245.29,6023.03,925.9,178.97
137,138,690000,4973.34,2020.89,75.89,6122.7,837.5,180.27
138,139,695000,4898.77,1913.71,203.31,5952.82,842.2,181.58
139,140,700000,5185.2,1659.77,825.58,6187.43,869.5,182.88
140,141,705000,5531.14,1357.84,1467.23,6155.14,926.5,184.19
141,142,710000,4946.72,1732.46,1464.86,5947.36,855.1,185.5
142,143,715000,5224.57,1478.65,2064.73,6046.97,883.1,186.81
143,144,720000,5850.76,422.37,4596.75,6082.02,978.7,188.13
144,145,725000,5374.0,1574.35,661.53,6087.46,913.2,189.44
145,146,730000,6079.78,93.5,5856.17,6198.04,1000.0,190.75
146,147,735000,5436.96,1556.78,778.35,6113.57,915.2,192.07
147,148,740000,5414.61,1250.92,1666.34,5916.15,929.0,193.37
148,149,745000,6125.71,77.23,6037.47,6258.03,1000.0,194.69
149,150,750000,5932.24,73.94,5798.85,6046.95,1000.0,196.01
150,151,755000,5620.78,705.99,4030.76,6186.15,963.2,197.33
151,152,760000,5692.02,1049.24,2655.75,6214.71,927.9,198.64
152,153,765000,6069.94,137.25,5775.2,6252.42,1000.0,199.97
153,154,770000,5709.73,843.82,3202.54,6137.15,953.0,201.28
154,155,775000,5433.61,1754.0,183.84,6163.41,905.2,202.59
155,156,780000,6052.15,59.16,5981.01,6185.41,1000.0,203.91
156,157,785000,5603.12,909.65,3195.83,6260.58,938.7,205.22
157,158,790000,5302.88,1485.83,1694.77,6178.02,882.3,206.52
158,159,795000,6192.22,89.83,6008.39,6286.17,1000.0,207.83
159,160,800000,5100.94,1865.08,564.1,6168.85,852.7,209.13
160,161,805000,5708.0,1016.81,2668.99,6198.51,946.2,210.45
161,162,810000,5726.37,742.22,3859.02,6154.14,939.9,211.75
162,163,815000,6042.54,119.92,5810.57,6202.34,1000.0,213.07
163,164,820000,6045.01,92.96,5818.48,6169.02,1000.0,214.38
164,165,825000,5398.14,1769.67,93.89,6105.76,903.6,215.69
165,166,830000,5761.72,982.12,2827.86,6237.35,946.2,217.01
166,167,835000,5562.6,1006.22,2557.34,6005.99,937.3,218.32
167,168,840000,5661.74,869.23,3070.47,6061.2,950.9,219.63
168,169,845000,6083.01,88.28,5924.46,6211.22,1000.0,220.95
169,170,850000,6051.69,104.54,5929.13,6254.76,1000.0,222.28
170,171,855000,6022.56,67.94,5921.43,6126.66,1000.0,223.6
171,172,860000,6092.11,130.4,5942.89,6320.75,1000.0,224.93
172,173,865000,6078.29,98.98,5944.67,6302.47,1000.0,226.24
173,174,870000,6103.36,78.1,5921.17,6167.85,1000.0,227.56
174,175,875000,6108.99,106.39,5953.03,6299.49,1000.0,228.88
175,176,880000,4846.87,2131.1,222.71,6004.96,824.9,230.18
176,177,885000,6168.66,129.75,5949.36,6404.18,1000.0,231.5
177,178,890000,5741.78,898.71,3050.61,6137.52,950.7,232.83
178,179,895000,6050.38,119.92,5727.04,6182.51,1000.0,234.16
179,180,900000,5920.17,167.3,5465.76,6082.97,991.2,235.46
180,181,905000,5272.75,1702.75,1583.95,6265.48,862.8,236.78
181,182,910000,5824.39,554.76,4179.85,6127.51,970.3,238.1
182,183,915000,5747.65,1094.59,2471.51,6253.65,943.5,239.42
183,184,920000,5536.64,1617.17,709.44,6243.35,907.7,240.74
184,185,925000,5063.06,1811.4,81.43,6154.68,844.2,242.03
185,186,930000,6175.41,149.34,5781.97,6344.44,1000.0,243.34
186,187,935000,6142.42,102.28,6009.07,6311.72,1000.0,244.66
187,188,940000,6122.99,71.84,6002.71,6261.66,1000.0,245.97
188,189,945000,6313.76,86.39,6136.03,6435.25,1000.0,247.27
189,190,950000,6017.26,91.49,5820.82,6146.69,1000.0,248.6
190,191,955000,5807.55,1063.26,2627.77,6342.95,943.6,249.91
191,192,960000,6033.57,118.0,5761.44,6156.28,1000.0,251.23
192,193,965000,6011.28,87.07,5893.81,6193.27,1000.0,252.55
193,194,970000,6025.39,155.16,5707.4,6196.4,1000.0,253.88
194,195,975000,6186.19,77.28,6088.09,6315.81,1000.0,255.21
195,196,980000,5791.95,671.09,3795.59,6185.98,964.0,256.53
196,197,985000,6276.14,84.94,6067.74,6372.22,1000.0,257.85
197,198,990000,6035.29,98.81,5911.74,6267.13,1000.0,259.18
198,199,995000,6051.96,121.38,5876.0,6252.88,1000.0,260.5
199,200,1000000,6058.08,124.44,5217.22,6148.08,902.3,261.8
