,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,851.19,12.07,821.78,868.8,1000.0,1.39
1,2,10000,859.6,43.58,791.4,922.31,1000.0,2.72
2,3,15000,506.64,235.58,43.05,702.36,817.9,4.02
3,4,20000,820.01,66.67,696.29,887.56,1000.0,5.34
4,5,25000,736.15,54.36,604.15,784.31,1000.0,6.67
5,6,30000,768.75,224.31,124.36,944.81,913.6,7.99
6,7,35000,710.95,236.38,211.47,849.29,854.5,9.29
7,8,40000,758.47,210.07,189.07,968.38,870.4,10.6
8,9,45000,777.3,264.45,8.07,998.38,901.7,11.91
9,10,50000,553.6,400.44,80.15,1274.3,493.2,13.17
10,11,55000,588.36,389.67,29.75,1120.21,641.4,14.44
11,12,60000,343.13,361.98,38.09,1008.2,362.6,15.69
12,13,65000,555.68,231.04,196.1,1019.55,629.6,16.96
13,14,70000,295.68,287.57,38.86,941.12,230.7,18.18
14,15,75000,698.72,431.82,94.33,1168.44,656.8,19.47
15,16,80000,673.92,415.72,131.45,1125.34,558.1,20.75
16,17,85000,452.99,405.14,50.09,1112.65,392.4,21.99
17,18,90000,742.76,391.1,90.79,1144.57,692.3,23.28
18,19,95000,771.61,466.67,42.19,1349.85,720.6,24.57
19,20,100000,1052.09,346.28,147.72,1613.56,911.1,25.89
20,21,105000,1273.71,368.27,472.97,1769.14,885.2,27.2
21,22,110000,718.73,397.65,131.5,1282.36,565.5,28.47
22,23,115000,1200.11,508.19,236.28,1910.1,832.6,29.77
23,24,120000,1459.81,274.36,981.4,1990.5,1000.0,31.11
24,25,125000,837.64,511.41,80.61,1493.79,672.4,32.39
25,26,130000,766.64,409.35,31.79,1138.56,660.6,33.67
26,27,135000,1254.22,580.47,150.08,2042.81,816.4,34.98
27,28,140000,1277.77,596.74,385.68,2119.65,748.2,36.28
28,29,145000,1371.66,429.26,669.06,1992.62,865.0,37.58
29,30,150000,1365.84,435.14,956.13,2303.97,960.6,38.9
30,31,155000,1104.28,533.65,106.2,2219.21,775.2,40.2
31,32,160000,1291.22,703.69,89.96,2400.06,787.8,41.5
32,33,165000,1252.57,632.65,389.97,2652.52,759.7,42.79
33,34,170000,1893.41,564.72,953.2,2493.09,1000.0,44.12
34,35,175000,2352.58,557.73,1062.77,2827.54,1000.0,45.45
35,36,180000,1417.07,1108.81,76.13,2842.19,562.9,46.72
36,37,185000,2012.23,829.33,423.23,3342.61,916.3,48.04
37,38,190000,1536.1,869.89,194.41,2712.69,833.9,49.34
38,39,195000,1342.05,590.9,232.64,2423.58,831.5,50.66
39,40,200000,1748.57,613.17,950.75,2996.36,914.4,51.97
40,41,205000,1225.23,757.58,23.18,2895.97,813.3,53.28
41,42,210000,2801.35,758.69,614.24,3244.15,891.4,54.58
42,43,215000,3269.83,111.72,3109.71,3417.92,1000.0,55.9
43,44,220000,777.2,713.65,194.4,2410.58,311.6,57.14
44,45,225000,2261.41,1460.05,13.77,3742.93,632.4,58.41
45,46,230000,3139.95,852.49,1322.51,3868.6,925.5,59.73
46,47,235000,2520.48,884.84,1442.7,3450.3,942.6,61.04
47,48,240000,2340.0,1273.34,177.5,3936.87,615.6,62.32
48,49,245000,3672.77,524.33,2182.51,4028.33,1000.0,63.65
49,50,250000,2582.27,1569.7,257.24,4263.34,644.2,64.92
50,51,255000,1774.47,1348.93,190.94,3835.07,523.3,66.19
51,52,260000,3928.51,833.31,1445.92,4323.99,932.5,67.5
52,53,265000,4257.92,590.67,2572.48,4684.03,1000.0,68.81
53,54,270000,3974.08,807.0,1640.72,4704.79,1000.0,70.15
54,55,275000,3094.7,1634.15,780.82,4714.47,677.5,71.42
55,56,280000,4406.43,660.62,2438.27,4696.4,955.2,72.72
56,57,285000,1143.95,658.35,85.56,2324.19,275.4,73.96
57,58,290000,3523.3,1874.31,12.85,5153.95,808.0,75.26
58,59,295000,2962.75,1427.7,263.83,5062.0,743.4,76.55
59,60,300000,2466.15,1330.88,401.87,4239.09,589.9,77.83
60,61,305000,4605.87,679.67,2952.65,5140.39,1000.0,79.15
61,62,310000,4064.77,1468.77,634.36,4919.34,847.7,80.45
62,63,315000,4074.57,1620.63,231.85,5204.11,812.6,81.76
63,64,320000,4657.42,523.63,3108.0,4981.78,1000.0,83.08
64,65,325000,4137.84,1307.57,1251.77,5246.91,827.8,84.37
65,66,330000,2677.68,1914.19,66.16,5214.27,587.8,85.65
66,67,335000,4789.89,72.7,4696.01,4921.65,1000.0,86.98
67,68,340000,3157.26,1350.65,1358.44,5046.41,649.2,88.27
68,69,345000,4175.76,1271.62,1148.56,5184.39,899.9,89.57
69,70,350000,3008.37,2198.88,53.47,5344.53,589.7,90.84
70,71,355000,4593.25,832.37,2898.56,5345.83,995.8,92.17
71,72,360000,3503.3,1626.3,1086.38,5195.54,695.3,93.45
72,73,365000,4143.45,1011.91,2579.2,5059.63,887.2,94.75
73,74,370000,5123.46,256.61,4408.39,5384.95,982.3,96.07
74,75,375000,4083.59,1465.69,1366.15,5216.45,799.2,97.37
75,76,380000,5037.03,158.78,4728.48,5263.2,1000.0,98.68
76,77,385000,4409.87,1067.85,2386.14,5361.12,913.9,100.0
77,78,390000,2326.3,1846.73,317.69,5047.02,534.7,101.27
78,79,395000,3537.08,1596.3,1211.46,5505.28,687.5,102.56
79,80,400000,4014.28,1828.93,479.78,5444.73,773.2,103.84
80,81,405000,4747.83,1643.7,1138.43,5659.96,934.2,105.16
81,82,410000,5398.2,62.21,5298.43,5482.5,1000.0,106.48
82,83,415000,4835.05,1182.16,2449.38,5673.21,903.2,107.79
83,84,420000,5042.1,822.61,2594.32,5448.63,1000.0,109.13
84,85,425000,5353.9,664.98,3381.11,5772.33,962.2,110.44
85,86,430000,4287.14,1697.88,1462.17,5720.23,835.5,111.73
86,87,435000,5491.34,143.21,5234.36,5827.75,1000.0,113.06
87,88,440000,5235.45,1248.22,1499.99,5836.38,927.2,114.37
88,89,445000,4389.13,2201.77,46.7,5797.29,779.8,115.67
89,90,450000,5052.28,1569.48,481.14,5920.22,887.4,116.98
90,91,455000,4856.26,1192.26,2044.74,5872.55,880.5,118.28
91,92,460000,5727.78,148.31,5506.67,5918.07,1000.0,119.61
92,93,465000,4382.36,1651.39,530.0,5869.5,796.5,120.91
93,94,470000,5454.02,340.08,4451.62,5694.71,978.9,122.23
94,95,475000,5261.43,1355.16,1228.06,5936.41,1000.0,123.56
