,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,300.783032,10.083093,285.281376,314.578901,56.0,1.166886
1,2,10000,311.175638,18.317344,287.834867,353.482873,58.7,2.244369
2,3,15000,330.064826,28.345552,295.759273,380.154031,64.6,3.280306
3,4,20000,418.443176,59.71534,311.659221,495.679409,86.9,4.30081
4,5,25000,420.288898,84.851366,342.402137,624.748852,91.1,5.349613
5,6,30000,479.124686,98.780673,336.1476,709.938387,95.3,6.446773
6,7,35000,396.731333,86.169683,274.787515,553.79747,82.6,7.522817
7,8,40000,475.497612,145.612206,283.424948,738.962117,100.4,8.587026
8,9,45000,482.355104,111.409446,341.594133,714.339457,95.3,9.660163
9,10,50000,402.342802,66.345305,305.038072,514.424108,76.2,10.726321
10,11,55000,575.114497,94.029816,394.402685,707.86025,112.4,11.779148
11,12,60000,476.828962,93.096857,341.375962,638.973065,91.9,12.841058
12,13,65000,484.223628,78.705376,364.103813,655.40301,94.2,13.905841
13,14,70000,509.289375,104.042831,337.841688,676.479721,99.6,14.993076
14,15,75000,718.422066,350.935507,391.231387,1710.107073,139.7,16.064315
15,16,80000,506.208333,36.992514,448.970888,564.493712,102.5,17.116602
16,17,85000,555.06071,137.875101,332.881704,811.529377,109.7,18.215583
17,18,90000,552.836737,128.249208,328.755827,776.142823,111.0,19.306146
18,19,95000,698.429398,148.567824,524.375924,1023.026536,131.9,20.403249
19,20,100000,644.663215,190.857013,454.05243,1100.217356,123.1,21.481018
20,21,105000,502.56667,105.564407,373.633149,697.102371,102.0,22.527188
21,22,110000,573.458071,79.703605,416.103745,685.3108,122.8,23.57527
22,23,115000,715.135351,146.211751,490.680393,1037.228707,147.4,24.610572
23,24,120000,569.160024,150.258424,364.335679,924.574465,111.5,25.671316
24,25,125000,724.334993,213.922473,432.838685,1134.621562,145.9,26.706845
25,26,130000,858.900899,158.772306,517.705776,1033.869005,170.2,27.773319
26,27,135000,727.837748,273.748106,515.590432,1483.698739,137.0,28.844483
27,28,140000,769.23747,170.15609,615.90321,1201.749088,153.8,29.918783
28,29,145000,886.749782,231.215122,592.753634,1323.701322,179.7,30.993974
29,30,150000,834.890389,246.388781,565.929624,1283.001695,168.1,32.063031
30,31,155000,846.469316,214.324766,458.918116,1186.467778,166.1,33.124829
31,32,160000,905.184277,349.233033,493.001464,1735.575401,175.4,34.186343
32,33,165000,789.678315,221.670549,492.524836,1290.725027,153.5,35.232863
33,34,170000,886.389731,256.96012,482.88394,1346.080264,177.5,36.299623
34,35,175000,1500.018414,573.029583,603.281845,2481.876082,302.6,37.382608
35,36,180000,1136.122976,685.409923,617.456032,3037.436343,230.6,38.461124
36,37,185000,1411.345125,637.247266,794.112919,2570.773844,279.1,39.587957
37,38,190000,2220.482262,1397.919402,847.654205,4252.442253,436.2,40.705242
38,39,195000,2043.729594,765.53229,793.571259,2875.614255,403.1,41.822297
39,40,200000,1445.54033,916.634943,643.062871,3780.432058,283.1,42.935769
40,41,205000,1251.539347,1239.549345,628.563725,4950.858945,243.4,44.03093
41,42,210000,2123.421199,1252.1853,775.255216,4975.912141,419.3,45.131725
42,43,215000,1071.540053,770.999998,439.509961,3304.731829,208.5,46.200789
43,44,220000,1490.434997,947.229608,517.686401,3620.003541,292.0,47.293689
44,45,225000,1035.857553,682.270174,408.727135,2883.563737,200.5,48.379063
45,46,230000,788.412108,286.3956,358.968635,1491.752247,148.4,49.443739
